Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Car_Age
0.75,26000,2,1,1,1,18
0.95,3500,2,1,1,0,9
0.787,50000,2,1,1,0,18
6.8,36000,2,0,1,0,11
1.5,8700,2,1,1,0,10
35.96,41000,1,0,0,0,12
30.61,40000,1,0,0,0,11
8.12,18796,2,0,1,0,11
0.787,75000,2,1,1,0,15
5.98,51439,1,0,1,0,14
8.01,50000,2,0,0,0,15
7.9,28569,2,0,1,0,10
7.27,40534,2,0,1,0,11
4.43,23709,2,0,1,0,14
1.4,35000,2,1,1,0,10
0.84,5000,2,1,1,0,9
14.79,12900,2,0,0,0,11
0.32,35000,2,1,1,0,11
13.6,21780,2,0,1,0,11
5.9,14465,2,0,1,0,11
6.79,31604,2,0,1,0,15
13.46,197176,1,0,1,0,21
23.15,11000,2,0,0,0,9
4.6,53460,2,0,1,0,15
0.54,500,2,1,0,0,10
1.9,5400,2,1,1,0,13
7.98,41442,2,0,1,0,16
0.48,50000,2,1,1,0,10
30.61,89000,1,0,0,0,14
1.47,17000,2,1,1,0,11
0.58,1900,2,1,0,0,18
18.61,56001,2,0,1,0,13
10.79,43000,1,0,1,0,10
3.6,2135,2,0,1,0,9
0.52,500000,2,1,0,0,18
11.0,87934,2,0,1,0,17
13.74,88000,2,0,1,0,15
5.7,24678,2,0,1,0,11
2.28,127000,2,1,1,0,23
10.79,41678,1,0,1,0,11
1.75,40000,2,1,1,0,17
7.5,44000,2,0,0,0,11
10.0,69562,2,0,1,0,17
20.45,59000,1,0,1,0,16
4.6,22517,2,0,1,0,15
20.91,12000,2,0,1,0,10
4.89,54200,2,0,1,0,15
1.05,30000,2,1,1,0,15
0.99,13000,2,1,1,0,14
7.7,16002,2,0,1,0,10
0.84,25000,2,1,1,0,10
5.09,35500,0,0,1,0,11
0.47,21000,2,1,1,0,13
25.39,29000,1,0,0,0,10
4.43,11849,2,0,1,0,10
0.94,45000,2,1,1,0,16
92.6,78000,1,0,1,0,16
13.6,35934,1,0,1,0,10
0.84,58000,2,1,1,0,11
9.9,38000,2,0,1,0,16
13.6,49562,2,0,1,0,10
0.95,1300,2,1,1,0,9
0.95,16600,2,1,1,0,11
8.1,3435,2,0,1,0,9
15.04,70000,2,0,0,0,17
0.787,15000,2,1,1,0,12
0.52,22000,2,1,0,0,16
7.6,17000,2,0,1,0,10
3.76,10079,2,0,1,0,10
0.51,33000,2,1,1,0,16
5.7,53000,1,0,1,0,13
5.7,21125,1,0,1,0,11
2.4,7000,2,1,1,0,12
0.83,5500,2,1,1,0,14
1.9,14000,2,1,1,0,11
8.4,4000,2,0,1,0,10
10.0,27600,2,0,1,0,11
0.84,23000,2,1,1,0,11
0.52,19000,2,1,0,0,12
0.51,60000,2,1,1,0,14
9.85,6900,2,0,1,0,9
1.47,17500,2,1,1,0,11
9.4,36000,2,0,1,0,11
1.05,213000,2,1,1,0,16
1.26,5700,2,1,1,0,10
9.4,15001,2,0,1,0,9
5.97,5600,2,0,1,0,10
0.8,7000,2,1,1,0,10
8.93,83000,1,0,1,0,12
10.38,45000,1,0,1,0,11
13.46,38000,1,0,1,0,11
9.4,71000,1,0,1,0,14
1.5,15000,2,1,1,0,13
0.51,4300,2,1,0,0,9
11.8,9010,2,0,1,0,10
9.9,54242,2,0,1,0,13
0.75,49000,2,1,1,1,19
9.4,45078,2,0,1,0,12
6.95,45000,1,0,1,0,12
0.75,92233,2,1,1,0,20
23.73,142000,2,1,0,3,20
9.4,36100,2,0,1,0,14
0.51,4000,2,1,0,0,9
9.94,15000,2,0,0,0,11
7.74,49998,0,0,1,0,15
3.95,44542,2,0,1,0,16
0.84,29000,2,1,1,0,11
0.65,24000,2,1,1,1,13
0.82,18000,2,1,1,0,11
0.64,13700,2,1,1,0,12
30.61,40000,1,0,0,0,11
18.61,72000,2,0,1,0,14
4.6,35775,2,0,1,0,14
7.6,77632,1,0,1,0,12
3.98,46706,2,0,1,0,12
6.76,40000,2,0,1,0,12
9.4,36000,2,0,1,0,14
1.2,23500,2,1,1,0,12
5.87,55138,2,0,1,0,13
6.8,33019,2,0,1,0,12
0.8,20000,2,1,1,0,10
5.7,28200,2,0,1,0,11
5.59,27000,2,0,1,0,12
10.0,18828,2,0,1,0,11
7.5,61203,2,0,1,0,16
1.9,3000,2,1,1,0,10
13.6,29223,2,0,1,0,10
1.6,1200,2,1,1,0,9
0.55,6700,2,1,1,0,11
18.61,45000,2,0,1,0,13
7.2,48767,2,0,1,0,11
7.7,40588,2,0,1,0,11
0.826,6000,2,1,1,0,15
9.4,60241,2,0,1,0,13
4.43,28282,2,0,1,0,11
9.4,49000,1,0,1,0,13
10.38,51000,1,0,1,0,11
5.9,60000,2,0,1,0,11
5.8,19000,2,0,1,0,9
6.49,16200,2,1,1,0,9
6.79,32000,2,0,0,0,13
6.87,42450,1,0,1,0,12
1.17,6000,2,1,1,0,10
7.49,39000,1,0,1,0,12
7.13,12479,2,0,1,0,9
0.99,14500,2,1,1,0,14
14.79,43535,1,0,1,0,11
13.6,25000,2,0,1,0,11
